city_ascii,county_name,county_fips,state_id,metfips,metarea
New York,New York,36061,NY,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
Los Angeles,Los Angeles,06037,CA,31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)"
Chicago,Cook,17031,IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)"
Miami,Miami-Dade,12086,FL,33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)"
Dallas,Dallas,48113,TX,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)"
Philadelphia,Philadelphia,42101,PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)"
Houston,Harris,48201,TX,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)"
Atlanta,Fulton,13121,GA,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)"
Washington,District of Columbia,11001,DC,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)"
Boston,Suffolk,25025,MA,14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)"
Phoenix,Maricopa,04013,AZ,38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)"
Seattle,King,53033,WA,42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)"
San Francisco,San Francisco,06075,CA,41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)"
Detroit,Wayne,26163,MI,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)"
San Diego,San Diego,06073,CA,41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)"
Minneapolis,Hennepin,27053,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)"
Tampa,Hillsborough,12057,FL,45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)"
Denver,Denver,08031,CO,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
Brooklyn,Kings,36047,NY,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
Queens,Queens,36081,NY,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
Riverside,Riverside,06065,CA,40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)"
Baltimore,Baltimore,24510,MD,12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"
Las Vegas,Clark,32003,NV,29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)"
Portland,Multnomah,41051,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)"
San Antonio,Bexar,48029,TX,41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)"
St. Louis,St. Louis,29510,MO,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)"
Sacramento,Sacramento,06067,CA,40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)"
Orlando,Orange,12095,FL,36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)"
San Jose,Santa Clara,06085,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)"
Cleveland,Cuyahoga,39035,OH,17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)"
Pittsburgh,Allegheny,42003,PA,38300,"Pittsburgh, PA (Metropolitan Statistical Area)"
Austin,Travis,48453,TX,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)"
Cincinnati,Hamilton,39061,OH,17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)"
Kansas City,Jackson,29095,MO,28140,"Kansas City, MO-KS (Metropolitan Statistical Area)"
Manhattan,New York,36061,NY,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
Indianapolis,Marion,18097,IN,26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)"
Columbus,Franklin,39049,OH,18140,"Columbus, OH (Metropolitan Statistical Area)"
